subestacion,provincia,municipio,nombre_del_gestor,utm_x,utm_y,distancia_a2_km,pk_centro_tramo_a2,capacidad_disponible_mw,nivel_de_tension_kv
ST TORIJA,Guadalajara,Torija,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",497599.11,4511899.14,0.767235194177825,77.95,0.0,132
MERCADONA,Barcelona,Abrera,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,908334.22,4606697.06,0.810255563412783,583.3,0.0,110
LAS MERCEDES,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",450264.45,4477022.35,0.8328402342339171,12.45,0.0,45
CENTROVIA,Zaragoza,"Muela, La",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,659418.75,4608008.88,0.9292681294022997,303.7395,0.0,132
SILS,Girona,Sils,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,977937.59,4644209.87,0.9963472068288786,696.0999999999999,0.0,110
GUADALAJARA,Guadalajara,Guadalajara,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",485000.93,4498444.62,1.0344421654926212,52.6025,0.0,132
ST TOROTE,Madrid,Torrejón de Ardoz,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",463554.42,4481068.09,1.0493954264602403,25.6,0.0,132
MOLLERUSSA,Lleida,Mollerussa,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,823957.96,4616278.01,1.0616090825569997,488.29999999999995,0.0,110
CITIPAL,Madrid,Coslada,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",452920.29,4476692.89,1.0645983339143936,12.45,0.0,45
SAICA_I,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,677494.36,4615342.26,1.0660822040418263,323.75,0.0,45
COGULLADA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,677904.96,4615271.88,1.1425917061167519,323.75,0.0,45
TARREGA,Lleida,Tàrrega,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,844040.59,4621553.43,1.1895316935515317,508.2,0.0,110
ANOIA,Barcelona,Vilanova del Camí,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,889118.85,4613349.42,1.2018776678873464,560.2,0.26,25
ACTUR,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,675798.19,4615124.79,1.2581784819992696,319.8,0.0,45
EL_FRASNO,Zaragoza,"Frasno, El",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,624740.09,4587532.99,1.2648237908500515,257.0,0.0,45
LOS_LEONES,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,676978.43,4617673.06,1.2719564129248322,323.75,0.0,132
LLOBREGAT,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,927079.12,4588647.96,1.2806945235262166,609.895,0.0,110
S.JOAN.DES,Barcelona,Sant Joan Despí,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,923790.66,4591544.21,1.3188508713215226,605.6,0.0,110
ALCALA I,Madrid,Alcalá de Henares,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",467283.92,4480837.0,1.338251630647956,25.6,0.0,132
RIOEBRO,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,674144.47,4615124.61,1.3684357671793508,319.8,0.0,45
LLEIDA,Lleida,Lleida,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,805199.81,4615397.17,1.4347260999254812,469.05,0.0,110
CR_MADRID,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,670914.86,4612116.29,1.4456816563878296,313.45,0.0,45
LOGISTICA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,667699.15,4612675.86,1.4682767114787618,313.45,0.0,45
CR CTRA MADRID,Zaragoza,Zaragoza,HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA S.A.U,670932.8,4612095.7,1.472569128010229,313.45,0.0,15
S.FELIU,Barcelona,Sant Feliu de Llobregat,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,921014.42,4594952.03,1.5279877672647437,602.9,0.0,66
