OBJECTID,Gestor de red,Nombre del gestor,Provincia,Municipio,Coordenada X,Coordenada Y,Subestación,Nivel de tensión (kV),Capacidad disponible (MW),Nudo reservado,Capacidad ocupada (MW),Capacidad admitida y no evaluada (MW),Nudo 0*,x,y
2510,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Cieza,639325.26,4234523.04,ST CIEZA,20,0,No,34.44,0,0,639325.26,4234523.04
2511,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,662538,4213827.19,ST CONDOMINA,132,0,No,0.35,0,1,662538,4213827.19
2512,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,662538,4213827.19,ST CONDOMINA,20,0,No,60.83,0,0,662538,4213827.19
2513,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,662538,4213827.19,ST CONDOMINA,20,0,No,51.32,0,0,662538,4213827.19
2514,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,662538,4213827.19,ST CONDOMINA,20,0,No,80.64,0,0,662538,4213827.19
2515,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,664267.36,4191209.31,3742,132,0,No,0,0,0,664267.36,4191209.31
2516,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Lorca,630374.2,4170546.48,ST EL HINOJAR,132,0,No,0,0,1,630374.2,4170546.48
2517,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,659497.45,4200156.69,ST EL PALMAR,132,0,No,77.35,50,1,659497.45,4200156.69
2518,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,659497.45,4200156.69,ST EL PALMAR,20,0,No,50.24,0,0,659497.45,4200156.69
2519,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Murcia,Murcia,659497.45,4200156.69,ST EL PALMAR,20,0,No,80.73,0,0,659497.45,4200156.69
